link,year,mileage,engine_capacity,fuel_type,price
https://www.otomoto.pl/osobowe/oferta/ford-focus-st-line-automat-led-navi-super-stan-polecam-ID6GyYuy.html,2018,146 477 km,1 498 cm3,Benzyna,46 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-6-16v-klimatronic-parctronic-serwis-oplacony-ID6Gyqu4.html,2011,106 000 km,1 596 cm3,Benzyna,12 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-w-swietnym-stanie-technicznym-ID6Gz3DI.html,2016,110 000 km,1 499 cm3,Benzyna,49 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-titanium-xenon-ID6Gz5dc.html,2013,147 000 km,1 997 cm3,Diesel,33 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-automat-kamera-full-led-b-o-panorama-dach-182km-ID6Gz3kE.html,2019,131 000 km,1 498 cm3,Benzyna,73 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focusmaly-przebiegklimatronictempomat-ID6Gz53Z.html,2011,116 021 km,1 596 cm3,Benzyna,26 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-salon-polska-titanium-ass-1-5-150km-bezposredni-wtrysk-gazu-prins-ID6GyYLL.html,2017,155 905 km,1 499 cm3,Benzyna+LPG,47 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ladny-stan-niski-przebieg-ID6GyXow.html,2012,135 000 km,1 596 cm3,Benzyna,33 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-focus-mk4-2019-37600km-1-5-ecoboost-150km-ID6GyVRA.html,2019,37 600 km,1 499 cm3,Benzyna,72 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-2-0-ecoboost-st-mk3-ID6GyYL4.html,2015,135 873 km,1 999 cm3,Benzyna,64 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-150-km-sedan-niski-przebieg-serwisowany-w-aso-ID6GyItH.html,2017,65 000 km,1 499 cm3,Benzyna,56 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-6-benzyna-ID6GzglD.html,2013,139 700 km,1 596 cm3,Benzyna,33 333
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-6-super-stan-polski-salon-ID6GypUw.html,2010,138 663 km,1 596 cm3,Benzyna,18 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-8-125-km-z-niemiec-grzana-szyba-fotele-klimatronikzarejestrowany-ID6GyiCi.html,2008,196 000 km,1 798 cm3,Benzyna,15 950
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-5d-120ps-xenon-skora-kamera-sync-navi-pdc-tempomat-alu17-ID6GzrbJ.html,2017,159 400 km,1 498 cm3,Diesel,43 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-2-0-tdci-150km-ID6GyJJq.html,2015,195 786 km,1 997 cm3,Diesel,43 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-ID6Gzha5.html,2011,153 300 km,1 596 cm3,Benzyna,35 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-5-benzyna-116-tys-km-led-xenon-ID6GyGF3.html,2015,116 000 km,1 499 cm3,Benzyna,27 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-2-0tdci-140km-niski-przebieg-bluetooth-ID6GyALU.html,2011,153 748 km,1 997 cm3,Diesel,26 700
https://www.otomoto.pl/osobowe/oferta/ford-focus-2-0-benzyna-145km-ID6GyQ75.html,2008,218 500 km,1 999 cm3,Benzyna,12 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-2-0tdci-140ps-navi-kamera-key-less-2xpdc-alu16-chrom-ID6GyVU6.html,2013,147 400 km,1 998 cm3,Diesel,28 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-2012-r-2-0-tdci-163-km-kombi-skora-xenon-ledy-alu-klima-serwis-warto-ID6GyXIm.html,2012,238 683 km,1 997 cm3,Diesel,27 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-nietuzinkowy-vignale-automat-skora-head-up-kamera-full-led-ID6Gz8H9.html,2019,170 000 km,1 997 cm3,Diesel,74 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ID6GyEbY.html,2014,227 000 km,1 997 cm3,Diesel,26 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-salon-polska-ID6GyXk1.html,2017,88 298 km,2 300 cm3,Benzyna,149 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-stan-bdb-ubezp-i-przeglad-do-06-2025-2-0-diesel-140-km-automat-ID6GySpM.html,2013,265 000 km,1 997 cm3,Diesel,28 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-super-stan-ID6GzlYA.html,2007,137 000 km,1 596 cm3,Benzyna,10 400
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-5-tdci-automat-navi-full-opcja-zarejestrowany-gwarancja-ID6Gzfjl.html,2019,93 403 km,1 499 cm3,Diesel,58 800
https://www.otomoto.pl/osobowe/oferta/ford-focus-2-0tdci-automat2xclimatronikgrzane-fotele-szybaelekteykasamopark-ID6GyGjs.html,2012,210 000 km,1 997 cm3,Diesel,22 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-2-0tdci-idealny-bezwypadkowy-bogate-wyposazenie-ID6Gzgph.html,2012,196 700 km,1 998 cm3,Diesel,28 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-0-125-km-2014r-polska-ID6GtSCk.html,2014,104 000 km,999 cm3 •,Benzyna,22 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-pierwszy-wlasciciel-bogata-wersja-wyposazenia-ID6GznnM.html,2020,136 032 km,1 498 cm3,Diesel,62 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-salon-pl-2016-i-wl-bezwypadkowy-serwisowany-bardzo-zadbany-147-000-km-ID6Gve0c.html,2016,147 000 km,1 498 cm3,Diesel,31 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-rs-mk3-350km-fv23-w-pelni-oryginalny-brak-modyfikacji-ID6Gq0mi.html,2017,120 000 km,2 261 cm3,Benzyna,123 000
